drone_id,timestamp,latitude,longitude,drone_type,step,in_risk_zone,flight_deviation_deg,hovering_duration_s,sensor_orientation_deg,sensor_target,heading_deg,ground_speed_mps,threat_time_s
DJI-492696,2026-02-07 22:46:25,-33.9698,151.2089,inspection,45,1,0.0,1.0,151.8,Patrick Terminals,,0.0,18.0
DJI-492696,2026-02-07 22:46:26,-33.9699,151.209,inspection,46,1,0.0,0.0,152.6,Patrick Terminals,140.3,14.45,19.0
DJI-492696,2026-02-07 22:46:27,-33.9699,151.2091,inspection,47,1,50.33,1.0,155.0,Patrick Terminals,90.0,9.22,20.0
DJI-492696,2026-02-07 22:46:28,-33.97,151.2092,inspection,48,1,50.33,0.0,156.1,Patrick Terminals,140.3,14.45,21.0
DJI-492696,2026-02-07 22:46:29,-33.9701,151.2093,inspection,49,1,0.0,0.0,157.5,Patrick Terminals,140.3,14.45,22.0
DJI-492696,2026-02-07 22:46:30,-33.9701,151.2094,inspection,50,1,50.33,1.0,160.4,Patrick Terminals,90.0,9.22,23.0
DJI-492696,2026-02-07 22:46:31,-33.9702,151.2095,inspection,51,1,50.33,0.0,162.3,Patrick Terminals,140.3,14.45,24.0
DJI-492696,2026-02-07 22:46:32,-33.9703,151.2096,inspection,52,1,0.0,0.0,164.5,Patrick Terminals,140.3,14.45,25.0
DJI-492696,2026-02-07 22:46:33,-33.9703,151.2097,inspection,53,1,50.33,1.0,168.3,Patrick Terminals,90.0,9.22,26.0
DJI-492696,2026-02-07 22:46:34,-33.9704,151.2098,inspection,54,1,50.33,0.0,171.4,Patrick Terminals,140.3,14.45,27.0
DJI-492696,2026-02-07 22:46:35,-33.9705,151.2098,inspection,55,1,39.67,0.0,170.6,Patrick Terminals,180.0,11.12,28.0
DJI-492696,2026-02-07 22:46:36,-33.9705,151.2099,inspection,56,1,90.0,1.0,175.3,Patrick Terminals,90.0,9.22,29.0
DJI-492696,2026-02-07 22:46:37,-33.9706,151.21,inspection,57,1,50.33,0.0,180.0,Patrick Terminals,140.3,14.45,30.0
DJI-492696,2026-02-07 22:46:38,-33.9707,151.2101,inspection,58,1,0.0,0.0,185.9,Patrick Terminals,140.3,14.45,31.0
DJI-492696,2026-02-07 22:46:39,-33.9707,151.2102,inspection,59,1,50.33,1.0,191.7,Patrick Terminals,90.0,9.22,32.0
DJI-492696,2026-02-07 22:46:40,-33.9708,151.2103,inspection,60,1,50.33,0.0,199.6,Patrick Terminals,140.3,14.45,33.0
DJI-492696,2026-02-07 22:46:41,-33.9708,151.2104,inspection,61,1,50.33,1.0,205.4,Patrick Terminals,90.0,9.22,34.0
DJI-492696,2026-02-07 22:46:42,-33.9709,151.2105,inspection,62,1,50.33,0.0,214.6,Patrick Terminals,140.3,14.45,35.0
DJI-492696,2026-02-07 22:46:43,-33.971,151.2106,inspection,63,1,0.0,0.0,224.9,Patrick Terminals,140.3,14.45,36.0
DJI-492696,2026-02-07 22:46:44,-33.971,151.2107,inspection,64,1,50.33,1.0,229.3,Patrick Terminals,90.0,9.22,37.0
DJI-492696,2026-02-07 22:46:45,-33.9711,151.2107,inspection,65,1,90.0,0.0,235.4,Patrick Terminals,180.0,11.12,38.0
DJI-492696,2026-02-07 22:46:46,-33.9712,151.2108,inspection,66,1,39.67,0.0,245.7,Patrick Terminals,140.3,14.45,39.0
DJI-492696,2026-02-07 22:46:47,-33.9712,151.2109,inspection,67,1,50.33,1.0,248.1,Patrick Terminals,90.0,9.22,40.0
DJI-492696,2026-02-07 22:46:48,-33.9713,151.211,inspection,68,1,50.33,0.0,256.4,Patrick Terminals,140.3,14.45,41.0
DJI-492696,2026-02-07 22:46:49,-33.9714,151.2111,inspection,69,1,0.0,0.0,263.7,Patrick Terminals,140.3,14.45,42.0
DJI-492696,2026-02-07 22:46:50,-33.9714,151.2112,inspection,70,1,50.33,1.0,264.3,Patrick Terminals,90.0,9.22,43.0
DJI-492696,2026-02-07 22:46:51,-33.9715,151.2113,inspection,71,1,50.33,0.0,270.0,Patrick Terminals,140.3,14.45,44.0
DJI-492696,2026-02-07 22:46:52,-33.9716,151.2114,inspection,72,1,0.0,0.0,274.9,Patrick Terminals,140.3,14.45,45.0
DJI-492696,2026-02-07 22:46:53,-33.9716,151.2115,inspection,73,1,50.33,1.0,274.6,Patrick Terminals,90.0,9.22,46.0
DJI-492696,2026-02-07 22:46:54,-33.9717,151.2116,inspection,74,1,50.33,0.0,278.6,Patrick Terminals,140.3,14.45,47.0
DJI-492696,2026-02-07 22:46:55,-33.9717,151.2116,inspection,75,1,0.0,1.0,278.6,Patrick Terminals,,0.0,48.0
DJI-492696,2026-02-07 22:46:56,-33.9718,151.2117,inspection,76,1,0.0,0.0,282.0,Patrick Terminals,140.3,14.45,49.0
DJI-492696,2026-02-07 22:46:57,-33.9719,151.2118,inspection,77,1,0.0,0.0,285.0,Patrick Terminals,140.3,14.45,50.0
DJI-492696,2026-02-07 22:46:58,-33.9719,151.2119,inspection,78,1,50.33,1.0,284.2,Patrick Terminals,90.0,9.22,51.0
DJI-492696,2026-02-07 22:46:59,-33.972,151.212,inspection,79,1,50.33,0.0,286.8,Patrick Terminals,140.3,14.45,52.0
DJI-957255,2026-02-07 22:45:40,-33.992,151.228,inspection,0,1,0.0,1.0,62.7,Botany Bay Harbour Waters,,0.0,1.0
DJI-957255,2026-02-07 22:45:41,-33.992,151.2276,inspection,1,1,0.0,0.0,63.9,Botany Bay Harbour Waters,270.0,36.88,2.0
DJI-957255,2026-02-07 22:45:42,-33.992,151.2272,inspection,2,1,0.0,0.0,65.1,Botany Bay Harbour Waters,270.0,36.88,3.0
DJI-957255,2026-02-07 22:45:43,-33.992,151.2268,inspection,3,1,0.0,0.0,66.2,Botany Bay Harbour Waters,270.0,36.88,4.0
DJI-957255,2026-02-07 22:45:44,-33.992,151.2264,inspection,4,1,0.0,0.0,67.2,Botany Bay Harbour Waters,270.0,36.88,5.0
DJI-957255,2026-02-07 22:45:45,-33.992,151.226,inspection,5,1,0.0,0.0,68.1,Botany Bay Harbour Waters,270.0,36.88,6.0
DJI-957255,2026-02-07 22:45:46,-33.992,151.2256,inspection,6,1,0.0,0.0,68.9,Botany Bay Harbour Waters,270.0,36.88,7.0
DJI-957255,2026-02-07 22:45:47,-33.992,151.2252,inspection,7,1,0.0,0.0,69.7,Botany Bay Harbour Waters,270.0,36.88,8.0
DJI-957255,2026-02-07 22:45:48,-33.992,151.2248,inspection,8,1,0.0,0.0,70.5,Botany Bay Harbour Waters,270.0,36.88,9.0
DJI-957255,2026-02-07 22:45:49,-33.992,151.2244,inspection,9,0,0.0,0.0,71.2,Botany Bay Harbour Waters,270.0,36.88,9.0
DJI-957255,2026-02-07 22:45:50,-33.992,151.224,inspection,10,0,0.0,0.0,71.8,Botany Bay Harbour Waters,270.0,36.88,9.0
DJI-957255,2026-02-07 22:45:51,-33.992,151.2236,inspection,11,0,0.0,0.0,72.4,Botany Bay Harbour Waters,270.0,36.88,9.0
DJI-957255,2026-02-07 22:45:52,-33.992,151.2232,inspection,12,0,0.0,0.0,73.0,Botany Bay Harbour Waters,270.0,36.88,9.0
DJI-957255,2026-02-07 22:45:53,-33.992,151.2228,inspection,13,0,0.0,0.0,73.5,Botany Bay Harbour Waters,270.0,36.88,9.0
DJI-957255,2026-02-07 22:45:54,-33.9915,151.2224,inspection,14,0,56.44,0.0,26.0,Naval / RAN Proximity Zone,326.4,66.72,9.0
DJI-957255,2026-02-07 22:45:55,-33.9907,151.222,inspection,15,0,11.04,0.0,29.8,Naval / RAN Proximity Zone,337.5,96.3,9.0
DJI-957255,2026-02-07 22:45:56,-33.99,151.2216,inspection,16,0,2.83,0.0,33.6,Naval / RAN Proximity Zone,334.6,86.13,9.0
DJI-957255,2026-02-07 22:45:57,-33.9892,151.2212,inspection,17,0,2.83,0.0,38.1,Naval / RAN Proximity Zone,337.5,96.3,9.0
DJI-957255,2026-02-07 22:45:58,-33.9885,151.2208,inspection,18,1,2.83,0.0,42.6,Naval / RAN Proximity Zone,334.6,86.13,10.0
DJI-957255,2026-02-07 22:45:59,-33.9877,151.2204,inspection,19,1,2.83,0.0,47.9,Naval / RAN Proximity Zone,337.5,96.3,11.0
DJI-957255,2026-02-07 22:46:00,-33.987,151.22,inspection,20,1,2.83,0.0,53.0,Naval / RAN Proximity Zone,334.6,86.13,12.0
DJI-957255,2026-02-07 22:46:01,-33.9862,151.2196,inspection,21,1,2.83,0.0,58.9,Naval / RAN Proximity Zone,337.5,96.3,13.0
DJI-957255,2026-02-07 22:46:02,-33.9855,151.2192,inspection,22,1,2.83,0.0,64.4,Naval / RAN Proximity Zone,334.6,86.13,14.0
DJI-957255,2026-02-07 22:46:03,-33.9847,151.2188,inspection,23,1,2.83,0.0,339.2,Bulk Liquids Berths,337.5,96.3,15.0
DJI-957255,2026-02-07 22:46:04,-33.984,151.2184,inspection,24,1,2.83,0.0,339.7,Bulk Liquids Berths,334.6,86.13,16.0
DJI-957255,2026-02-07 22:46:05,-33.9832,151.218,inspection,25,1,2.83,0.0,340.0,Bulk Liquids Berths,337.5,96.3,17.0
DJI-957255,2026-02-07 22:46:06,-33.9825,151.2176,inspection,26,1,2.83,0.0,340.8,Bulk Liquids Berths,334.6,86.13,18.0
DJI-957255,2026-02-07 22:46:07,-33.9817,151.2172,inspection,27,1,2.83,0.0,341.4,Bulk Liquids Berths,337.5,96.3,19.0
DJI-957255,2026-02-07 22:46:08,-33.981,151.2168,inspection,28,1,2.83,0.0,342.9,Bulk Liquids Berths,334.6,86.13,20.0
DJI-957255,2026-02-07 22:46:09,-33.9802,151.2164,inspection,29,1,2.83,0.0,344.5,Bulk Liquids Berths,337.5,96.3,21.0
DJI-957255,2026-02-07 22:46:10,-33.9795,151.216,inspection,30,1,2.83,0.0,348.3,Bulk Liquids Berths,334.6,86.13,22.0
DJI-957255,2026-02-07 22:46:11,-33.9787,151.2156,inspection,31,1,2.83,0.0,356.0,Bulk Liquids Berths,337.5,96.3,23.0
DJI-957255,2026-02-07 22:46:12,-33.978,151.2152,inspection,32,1,2.83,0.0,26.5,Bulk Liquids Berths,334.6,86.13,24.0
DJI-957255,2026-02-07 22:46:13,-33.9772,151.2148,inspection,33,1,2.83,0.0,117.3,Bulk Liquids Berths,337.5,96.3,25.0
DJI-957255,2026-02-07 22:46:14,-33.9765,151.2144,inspection,34,1,2.83,0.0,137.6,Bulk Liquids Berths,334.6,86.13,26.0
DJI-957255,2026-02-07 22:46:15,-33.9757,151.214,inspection,35,1,2.83,0.0,145.4,Bulk Liquids Berths,337.5,96.3,27.0
DJI-957255,2026-02-07 22:46:16,-33.975,151.2136,inspection,36,1,2.83,0.0,147.8,Bulk Liquids Berths,334.6,86.13,28.0
DJI-957255,2026-02-07 22:46:17,-33.9742,151.2132,inspection,37,1,2.83,0.0,315.5,Patrick Terminals,337.5,96.3,29.0
DJI-957255,2026-02-07 22:46:18,-33.9735,151.2128,inspection,38,1,2.83,0.0,310.7,Patrick Terminals,334.6,86.13,30.0
DJI-957255,2026-02-07 22:46:19,-33.9727,151.2124,inspection,39,1,2.83,0.0,301.1,Patrick Terminals,337.5,96.3,31.0
DJI-957255,2026-02-07 22:46:20,-33.972,151.212,inspection,40,1,2.83,0.0,286.8,Patrick Terminals,334.6,86.13,32.0
DJI-957255,2026-02-07 22:46:21,-33.9719,151.2122,inspection,41,1,84.27,0.0,282.4,Patrick Terminals,58.9,21.54,33.0
DJI-957255,2026-02-07 22:46:22,-33.9718,151.2124,inspection,42,1,0.0,0.0,278.6,Patrick Terminals,58.9,21.54,34.0
DJI-957255,2026-02-07 22:46:23,-33.9717,151.2126,inspection,43,1,0.0,0.0,275.3,Patrick Terminals,58.9,21.54,35.0
DJI-957255,2026-02-07 22:46:24,-33.9716,151.2128,inspection,44,1,0.0,0.0,272.5,Patrick Terminals,58.9,21.54,36.0
DJI-957255,2026-02-07 22:46:25,-33.9716,151.213,inspection,45,1,31.09,0.0,272.3,Patrick Terminals,90.0,18.44,37.0
DJI-957255,2026-02-07 22:46:26,-33.9715,151.2132,inspection,46,1,31.09,0.0,270.0,Patrick Terminals,58.9,21.54,38.0
DJI-957255,2026-02-07 22:46:27,-33.9714,151.2134,inspection,47,1,0.0,0.0,268.0,Patrick Terminals,58.9,21.54,39.0
DJI-957255,2026-02-07 22:46:28,-33.9713,151.2136,inspection,48,1,0.0,0.0,266.2,Patrick Terminals,58.9,21.54,40.0
DJI-957255,2026-02-07 22:46:29,-33.9712,151.2138,inspection,49,1,0.0,0.0,264.6,Patrick Terminals,58.9,21.54,41.0
DJI-957255,2026-02-07 22:46:30,-33.9711,151.2141,inspection,50,1,9.19,0.0,263.3,Patrick Terminals,68.1,29.82,42.0
DJI-957255,2026-02-07 22:46:31,-33.971,151.2143,inspection,51,1,9.19,0.0,262.0,Patrick Terminals,58.9,21.54,43.0
DJI-957255,2026-02-07 22:46:32,-33.9709,151.2145,inspection,52,1,0.0,0.0,260.9,Patrick Terminals,58.9,21.54,44.0
DJI-957255,2026-02-07 22:46:33,-33.9708,151.2147,inspection,53,1,0.0,0.0,259.8,Patrick Terminals,58.9,21.54,45.0
DJI-957255,2026-02-07 22:46:34,-33.9707,151.2149,inspection,54,1,0.0,0.0,258.9,Patrick Terminals,58.9,21.54,46.0
DJI-957255,2026-02-07 22:46:35,-33.9707,151.2151,inspection,55,1,31.09,0.0,259.3,Patrick Terminals,90.0,18.44,47.0
DJI-957255,2026-02-07 22:46:36,-33.9706,151.2153,inspection,56,1,31.09,0.0,258.4,Patrick Terminals,58.9,21.54,48.0
DJI-957255,2026-02-07 22:46:37,-33.9705,151.2155,inspection,57,1,0.0,0.0,257.6,Patrick Terminals,58.9,21.54,49.0
DJI-957255,2026-02-07 22:46:38,-33.9704,151.2157,inspection,58,1,0.0,0.0,256.9,Patrick Terminals,58.9,21.54,50.0
DJI-957255,2026-02-07 22:46:39,-33.9703,151.2159,inspection,59,1,0.0,0.0,256.2,Patrick Terminals,58.9,21.54,51.0
DJI-957255,2026-02-07 22:46:40,-33.9702,151.2161,inspection,60,1,0.0,0.0,255.6,Patrick Terminals,58.9,21.54,52.0
DJI-957255,2026-02-07 22:46:41,-33.9701,151.2163,inspection,61,1,0.0,0.0,255.0,Patrick Terminals,58.9,21.54,53.0
DJI-957255,2026-02-07 22:46:42,-33.97,151.2165,inspection,62,1,0.0,0.0,254.4,Patrick Terminals,58.9,21.54,54.0
DJI-957255,2026-02-07 22:46:43,-33.9699,151.2167,inspection,63,1,0.0,0.0,253.9,Patrick Terminals,58.9,21.54,55.0
DJI-957255,2026-02-07 22:46:44,-33.9698,151.2169,inspection,64,1,0.0,0.0,253.5,Patrick Terminals,58.9,21.54,56.0
DJI-957255,2026-02-07 22:46:45,-33.9698,151.2171,inspection,65,1,31.09,0.0,123.2,DP World Terminal,90.0,18.44,57.0
DJI-957255,2026-02-07 22:46:46,-33.9697,151.2173,inspection,66,1,31.09,0.0,124.9,DP World Terminal,58.9,21.54,58.0
DJI-957255,2026-02-07 22:46:47,-33.9696,151.2175,inspection,67,1,0.0,0.0,126.7,DP World Terminal,58.9,21.54,59.0
DJI-957255,2026-02-07 22:46:48,-33.9695,151.2177,inspection,68,1,0.0,0.0,128.5,DP World Terminal,58.9,21.54,60.0
DJI-957255,2026-02-07 22:46:49,-33.9694,151.2179,inspection,69,1,0.0,0.0,130.4,DP World Terminal,58.9,21.54,61.0
DJI-957255,2026-02-07 22:46:50,-33.9693,151.2182,inspection,70,1,9.19,0.0,132.9,DP World Terminal,68.1,29.82,62.0
DJI-957255,2026-02-07 22:46:51,-33.9692,151.2184,inspection,71,1,9.19,0.0,134.9,DP World Terminal,58.9,21.54,63.0
DJI-957255,2026-02-07 22:46:52,-33.9691,151.2186,inspection,72,1,0.0,0.0,136.9,DP World Terminal,58.9,21.54,64.0
DJI-957255,2026-02-07 22:46:53,-33.969,151.2188,inspection,73,1,0.0,0.0,139.0,DP World Terminal,58.9,21.54,65.0
DJI-957255,2026-02-07 22:46:54,-33.9689,151.219,inspection,74,1,0.0,0.0,141.0,DP World Terminal,58.9,21.54,66.0
DJI-957255,2026-02-07 22:46:55,-33.9689,151.2192,inspection,75,1,31.09,0.0,142.5,DP World Terminal,90.0,18.44,67.0
DJI-957255,2026-02-07 22:46:56,-33.9688,151.2194,inspection,76,1,31.09,0.0,144.6,DP World Terminal,58.9,21.54,68.0
DJI-957255,2026-02-07 22:46:57,-33.9687,151.2196,inspection,77,1,0.0,0.0,146.7,DP World Terminal,58.9,21.54,69.0
DJI-957255,2026-02-07 22:46:58,-33.9686,151.2198,inspection,78,1,0.0,0.0,148.9,DP World Terminal,58.9,21.54,70.0
DJI-957255,2026-02-07 22:46:59,-33.9685,151.22,inspection,79,1,0.0,0.0,151.1,DP World Terminal,58.9,21.54,71.0
DJI-480010,2026-02-07 22:45:40,-33.976,151.205,inspection,0,1,0.0,1.0,42.7,Patrick Terminals,,0.0,1.0
DJI-480010,2026-02-07 22:45:41,-33.9758,151.205,inspection,1,1,0.0,0.0,44.0,Patrick Terminals,0.0,22.24,2.0
DJI-480010,2026-02-07 22:45:42,-33.9757,151.205,inspection,2,1,0.0,0.0,44.6,Patrick Terminals,0.0,11.12,3.0
DJI-480010,2026-02-07 22:45:43,-33.9755,151.205,inspection,3,1,0.0,0.0,46.0,Patrick Terminals,0.0,22.24,4.0
DJI-480010,2026-02-07 22:45:44,-33.9753,151.205,inspection,4,1,0.0,0.0,47.5,Patrick Terminals,0.0,22.24,5.0
DJI-480010,2026-02-07 22:45:45,-33.9752,151.205,inspection,5,1,0.0,0.0,48.3,Patrick Terminals,0.0,11.12,6.0
DJI-480010,2026-02-07 22:45:46,-33.975,151.205,inspection,6,1,0.0,0.0,49.8,Patrick Terminals,0.0,22.24,7.0
DJI-480010,2026-02-07 22:45:47,-33.9749,151.205,inspection,7,1,0.0,0.0,50.7,Patrick Terminals,0.0,11.12,8.0
DJI-480010,2026-02-07 22:45:48,-33.9747,151.205,inspection,8,1,0.0,0.0,52.3,Patrick Terminals,0.0,22.24,9.0
DJI-480010,2026-02-07 22:45:49,-33.9745,151.205,inspection,9,1,0.0,0.0,54.1,Patrick Terminals,0.0,22.24,10.0
DJI-480010,2026-02-07 22:45:50,-33.9744,151.205,inspection,10,1,0.0,0.0,55.0,Patrick Terminals,0.0,11.12,11.0
DJI-480010,2026-02-07 22:45:51,-33.9742,151.205,inspection,11,1,0.0,0.0,56.9,Patrick Terminals,0.0,22.24,12.0
DJI-480010,2026-02-07 22:45:52,-33.974,151.205,inspection,12,1,0.0,0.0,58.9,Patrick Terminals,0.0,22.24,13.0
DJI-480010,2026-02-07 22:45:53,-33.9739,151.205,inspection,13,1,0.0,0.0,59.9,Patrick Terminals,0.0,11.12,14.0
DJI-480010,2026-02-07 22:45:54,-33.9737,151.205,inspection,14,1,0.0,0.0,62.1,Patrick Terminals,0.0,22.24,15.0
DJI-480010,2026-02-07 22:45:55,-33.9736,151.205,inspection,15,1,0.0,0.0,63.1,Patrick Terminals,0.0,11.12,16.0
DJI-480010,2026-02-07 22:45:56,-33.9734,151.205,inspection,16,1,0.0,0.0,65.4,Patrick Terminals,0.0,22.24,17.0
DJI-480010,2026-02-07 22:45:57,-33.9732,151.205,inspection,17,1,0.0,0.0,67.7,Patrick Terminals,0.0,22.24,18.0
DJI-480010,2026-02-07 22:45:58,-33.9731,151.205,inspection,18,1,0.0,0.0,68.9,Patrick Terminals,0.0,11.12,19.0
DJI-480010,2026-02-07 22:45:59,-33.9729,151.205,inspection,19,1,0.0,0.0,71.3,Patrick Terminals,0.0,22.24,20.0
DJI-480010,2026-02-07 22:46:00,-33.9727,151.205,inspection,20,1,0.0,0.0,73.9,Patrick Terminals,0.0,22.24,21.0
DJI-480010,2026-02-07 22:46:01,-33.9726,151.205,inspection,21,1,0.0,0.0,75.1,Patrick Terminals,0.0,11.12,22.0
DJI-480010,2026-02-07 22:46:02,-33.9724,151.205,inspection,22,1,0.0,0.0,77.8,Patrick Terminals,0.0,22.24,23.0
DJI-480010,2026-02-07 22:46:03,-33.9723,151.205,inspection,23,1,0.0,0.0,79.1,Patrick Terminals,0.0,11.12,24.0
DJI-480010,2026-02-07 22:46:04,-33.9721,151.205,inspection,24,1,0.0,0.0,81.8,Patrick Terminals,0.0,22.24,25.0
DJI-480010,2026-02-07 22:46:05,-33.9719,151.205,inspection,25,1,0.0,0.0,84.5,Patrick Terminals,0.0,22.24,26.0
DJI-480010,2026-02-07 22:46:06,-33.9718,151.205,inspection,26,1,0.0,0.0,85.9,Patrick Terminals,0.0,11.12,27.0
DJI-480010,2026-02-07 22:46:07,-33.9716,151.205,inspection,27,1,0.0,0.0,88.6,Patrick Terminals,0.0,22.24,28.0
DJI-480010,2026-02-07 22:46:08,-33.9714,151.205,inspection,28,1,0.0,0.0,91.4,Patrick Terminals,0.0,22.24,29.0
DJI-480010,2026-02-07 22:46:09,-33.9713,151.205,inspection,29,1,0.0,0.0,92.8,Patrick Terminals,0.0,11.12,30.0
DJI-480010,2026-02-07 22:46:10,-33.9711,151.2051,inspection,30,1,22.52,0.0,95.6,Patrick Terminals,22.5,24.08,31.0
